Country,Cancer_Type,Total_Deaths,Population_Size
Pakistan,Oesophagus,2162.0,295401957.0
Turkey,Pancreatic,,671223640.0
Italy,Thyroid,4610.0,1053902728.0
France,Oesophagus,4779.0,1093359291.0
Bangladesh,Breast,1404.0,1165799522.0
Argentina,Liver,3804.0,831456339.0
Pakistan,Pancreatic,259.0,
Indonesia,Colorectal,287.0,608760619.0
Vietnam,Prostate,385.0,33900326.0
France,Breast,3888.0,847729406.0
France,Liver,1626.0,618029449.0
Saudi Arabia,Cervical,549.0,1079267815.0
Argentina,Liver,1614.0,31025211.0
Russia,Thyroid,840.0,576733407.0
Bangladesh,Stomach,3590.0,118586174.0
Saudi Arabia,Breast,,1027374934.0
USA,Cervical,1185.0,325054986.0
Spain,Thyroid,3994.0,862278856.0
Argentina,Pancreatic,2398.0,
China,Colorectal,4374.0,161542397.0
Saudi Arabia,Liver,199.0,758043391.0
Mexico,Pancreatic,3256.0,30721578.0
Nigeria,Cervical,,30799701.0
China,Thyroid,1674.0,48478303.0
Argentina,Stomach,2624.0,1192934126.0
India,Liver,4478.0,192723265.0
Mexico,Colorectal,4319.0,538277050.0
Spain,Stomach,3334.0,
Mexico,Oesophagus,,100589146.0
South Korea,Thyroid,3997.0,1185678041.0
Australia,Pancreatic,4964.0,1349201212.0
Germany,Liver,,865311836.0
Canada,Liver,1662.0,1122074971.0
Italy,Cervical,3865.0,894230834.0
Italy,Colorectal,4769.0,1049657736.0
Indonesia,Prostate,627.0,441440841.0
Mexico,Oesophagus,472.0,1138532405.0
Vietnam,Stomach,2813.0,563763139.0
Turkey,Breast,1279.0,1266865477.0
South Korea,Breast,3226.0,1125515047.0
USA,Liver,803.0,746854799.0
Brazil,Cervical,4892.0,592466055.0
Indonesia,Lung,737.0,1393530981.0
Pakistan,Liver,772.0,798763248.0
Argentina,Breast,796.0,1047415804.0
Japan,Breast,4387.0,872755645.0
Pakistan,Oesophagus,2762.0,1221338770.0
Egypt,Pancreatic,757.0,868298737.0
Russia,Lung,484.0,979726928.0
South Korea,Liver,4926.0,844684208.0
South Africa,Oesophagus,533.0,1395981771.0
Egypt,Cervical,3568.0,1036992645.0
Japan,Oesophagus,1583.0,821875518.0
Argentina,Liver,219.0,732458178.0
China,Thyroid,1070.0,519842900.0
Turkey,Prostate,897.0,39925703.0
Italy,Liver,745.0,1257411355.0
Pakistan,Colorectal,3396.0,412718330.0
Mexico,Breast,4063.0,1225361373.0
Bangladesh,Lung,81.0,395215455.0
Italy,Lung,226.0,43468042.0
USA,Pancreatic,3014.0,1192173907.0
South Africa,Prostate,2162.0,1310915889.0
Australia,Colorectal,3936.0,75793368.0
Russia,Breast,1552.0,796474092.0
Egypt,Lung,2365.0,321978568.0
Bangladesh,Colorectal,2694.0,510976422.0
Russia,Oesophagus,115.0,177840252.0
China,Pancreatic,4278.0,14718439.0
Nigeria,Liver,1978.0,708019879.0
Spain,Liver,634.0,1249384316.0
Germany,Thyroid,1798.0,185787650.0
Russia,Breast,2254.0,
Spain,Colorectal,3680.0,250703375.0
Egypt,Stomach,1942.0,1274638475.0
Mexico,Lung,2479.0,637078211.0
China,Cervical,3143.0,
Germany,Cervical,1023.0,807749338.0
Russia,Liver,4074.0,406997926.0
South Africa,Stomach,2692.0,476377828.0
Canada,Cervical,1492.0,660098276.0
