Country,Cancer Type,Deaths (2021),% of Total Cancer Deaths,Total Cancer Deaths,Population (2021)
Afghanistan,Lung Cancer,67235,31.23,215294,324609715
Afghanistan,Colorectal Cancer,66726,30.99,215294,1313958716
Afghanistan,Stomach Cancer,7102,3.3,215294,1154090720
Afghanistan,Liver Cancer,27641,12.84,215294,244959576
Afghanistan,Breast Cancer,33745,15.67,215294,1479384181
Afghanistan,Esophageal Cancer,67105,31.17,215294,301910439
Afghanistan,Pancreatic Cancer,52885,24.56,215294,418369879
Afghanistan,Prostate Cancer,73991,34.37,215294,736055790
Afghanistan,Cervical Cancer,12093,5.62,215294,602656257
Afghanistan,Bladder Cancer,57958,26.92,215294,79725274
Afghanistan,Non-Hodgkin Lymphoma,11729,5.45,215294,1386344985
Afghanistan,Leukemia,67320,31.27,215294,1498525351
Afghanistan,Kidney Cancer,79069,36.73,215294,227860070
Afghanistan,Ovarian Cancer,55748,25.89,215294,1274501353
Afghanistan,Oral Cancer,20190,9.38,215294,1332926882
Albania,Lung Cancer,11647,8.99,129592,351444347
Albania,Colorectal Cancer,71316,55.03,129592,835400275
Albania,Stomach Cancer,3368,2.6,129592,305688903
Albania,Liver Cancer,7655,5.91,129592,1271419855
Albania,Breast Cancer,77429,59.75,129592,1452678166
Albania,Esophageal Cancer,14403,11.11,129592,339722145
Albania,Pancreatic Cancer,79657,61.47,129592,337210646
Albania,Prostate Cancer,53921,41.61,129592,184157310
Albania,Cervical Cancer,51300,39.59,129592,1456708309
Albania,Bladder Cancer,56609,43.68,129592,131997589
Albania,Non-Hodgkin Lymphoma,32024,24.71,129592,161409267
Albania,Leukemia,71313,55.03,129592,1386558853
Albania,Kidney Cancer,54006,41.67,129592,160267818
Albania,Ovarian Cancer,69027,53.26,129592,1403956388
Albania,Oral Cancer,20508,15.83,129592,1167267963
Algeria,Lung Cancer,49747,48.27,103051,528810564
Algeria,Colorectal Cancer,55021,53.39,103051,222971308
Algeria,Stomach Cancer,59335,57.58,103051,135667123
Algeria,Liver Cancer,33093,32.11,103051,175526510
Algeria,Breast Cancer,40734,39.53,103051,595221991
Algeria,Esophageal Cancer,74523,72.32,103051,571137231
Algeria,Pancreatic Cancer,18019,17.49,103051,922678953
Algeria,Prostate Cancer,74847,72.63,103051,1164215678
Algeria,Cervical Cancer,29251,28.38,103051,1049155193
Algeria,Bladder Cancer,26945,26.15,103051,109880612
Algeria,Non-Hodgkin Lymphoma,33217,32.23,103051,348346749
Algeria,Leukemia,52990,51.42,103051,842702792
Algeria,Kidney Cancer,75740,73.5,103051,250939584
Algeria,Ovarian Cancer,67617,65.62,103051,672891968
Algeria,Oral Cancer,47175,45.78,103051,212426941
Andorra,Lung Cancer,21056,20.01,105237,689042471
Andorra,Colorectal Cancer,57556,54.69,105237,1203306932
Andorra,Stomach Cancer,4343,4.13,105237,72709884
Andorra,Liver Cancer,54222,51.52,105237,675788031
Andorra,Breast Cancer,10662,10.13,105237,480836949
Andorra,Esophageal Cancer,60638,57.62,105237,205939202
Andorra,Pancreatic Cancer,68215,64.82,105237,682381298
Andorra,Prostate Cancer,14284,13.57,105237,517103253
Andorra,Cervical Cancer,62389,59.28,105237,395274011
Andorra,Bladder Cancer,55340,52.59,105237,405401198
Andorra,Non-Hodgkin Lymphoma,79832,75.86,105237,1338509981
Andorra,Leukemia,79781,75.81,105237,875703859
Andorra,Kidney Cancer,30124,28.62,105237,74706383
Andorra,Ovarian Cancer,36247,34.44,105237,1319181204
Andorra,Oral Cancer,63752,60.58,105237,644273060
Angola,Lung Cancer,24049,6.19,388790,581222788
Angola,Colorectal Cancer,69385,17.85,388790,1121529587
Angola,Stomach Cancer,41158,10.59,388790,66732489
Angola,Liver Cancer,24289,6.25,388790,14470137
Angola,Breast Cancer,10823,2.78,388790,170124855
Angola,Esophageal Cancer,10540,2.71,388790,791118380
Angola,Pancreatic Cancer,5611,1.44,388790,498576975
Angola,Prostate Cancer,52991,13.63,388790,612686134
Angola,Cervical Cancer,31977,8.22,388790,114865200
Angola,Bladder Cancer,50115,12.89,388790,369403327
Angola,Non-Hodgkin Lymphoma,61890,15.92,388790,1293567379
Angola,Leukemia,19071,4.91,388790,761932235
Angola,Kidney Cancer,73369,18.87,388790,316109026
Angola,Ovarian Cancer,36195,9.31,388790,552904800
Angola,Oral Cancer,5000,1.29,388790,1337611772
Argentina,Lung Cancer,39304,8.49,463186,651622119
Argentina,Colorectal Cancer,70449,15.21,463186,888702570
Argentina,Stomach Cancer,21764,4.7,463186,298904524
Argentina,Liver Cancer,39494,8.53,463186,79262145
